WV5.PANEL0,
Signal,
File,Signal,Hierarchy,Value,Unit,
D0:sram.sw1,v(qout2),,,V,
,
Signal->v(qout2),
X-axis,Value,
 5.420E-01, 1.505E+00,
 5.430E-01, 1.501E+00,
 5.440E-01, 1.497E+00,
 5.450E-01, 1.493E+00,
 5.460E-01, 1.489E+00,
 5.470E-01, 1.485E+00,
 5.480E-01, 1.481E+00,
 5.490E-01, 1.477E+00,
 5.500E-01, 1.473E+00,
 5.510E-01, 1.469E+00,
 5.520E-01, 1.464E+00,
 5.530E-01, 1.460E+00,
 5.540E-01, 1.456E+00,
 5.550E-01, 1.451E+00,
 5.560E-01, 1.447E+00,
 5.570E-01, 1.442E+00,
 5.580E-01, 1.437E+00,
 5.590E-01, 1.433E+00,
 5.600E-01, 1.428E+00,
 5.610E-01, 1.423E+00,
 5.620E-01, 1.418E+00,
 5.630E-01, 1.413E+00,
 5.640E-01, 1.408E+00,
 5.650E-01, 1.403E+00,
 5.660E-01, 1.398E+00,
 5.670E-01, 1.392E+00,
 5.680E-01, 1.387E+00,
 5.690E-01, 1.382E+00,
 5.700E-01, 1.376E+00,
 5.710E-01, 1.371E+00,
 5.720E-01, 1.366E+00,
 5.730E-01, 1.360E+00,
 5.740E-01, 1.355E+00,
 5.750E-01, 1.349E+00,
 5.760E-01, 1.344E+00,
 5.770E-01, 1.339E+00,
 5.780E-01, 1.333E+00,
 5.790E-01, 1.328E+00,
 5.800E-01, 1.323E+00,
 5.810E-01, 1.318E+00,
 5.820E-01, 1.313E+00,
 5.830E-01, 1.308E+00,
 5.840E-01, 1.303E+00,
 5.850E-01, 1.299E+00,
 5.860E-01, 1.294E+00,
 5.870E-01, 1.290E+00,
 5.880E-01, 1.285E+00,
 5.890E-01, 1.281E+00,
 5.900E-01, 1.277E+00,
 5.910E-01, 1.273E+00,
 5.920E-01, 1.269E+00,
 5.930E-01, 1.265E+00,
 5.940E-01, 1.262E+00,
 5.950E-01, 1.258E+00,
 5.960E-01, 1.255E+00,
 5.970E-01, 1.251E+00,
 5.980E-01, 1.248E+00,
 5.990E-01, 1.245E+00,
 6.000E-01, 1.242E+00,
 6.010E-01, 1.239E+00,
 6.020E-01, 1.236E+00,
 6.030E-01, 1.233E+00,
 6.040E-01, 1.230E+00,
 6.050E-01, 1.227E+00,
 6.060E-01, 1.224E+00,
 6.070E-01, 1.222E+00,
